Circuit,SOP,,,BDD,,,CMOS
,CF1,CF2,CF3,CF1,CF2,CF3,
9symml_orig_min_verify,878.64n,505.96n,371.61n,1.3164u,1.165u,489.61n,1.806u
alu2_orig_min_verify,1.5948u,1.168u,1.353u,2.2258u,1.6393u,1.7227u,3.7143u
alu4_orig_min_verify,4.2534u,3.7443u,1.8792u,4.8424u,10.33u,2.7504u,7.0029u
apex6_orig_min_verify,5.1347u,2.8926u,3.5235u,5.5359u,3.2931u,3.8722u,5.4364u
apex7_orig_min_verify,1.4071u,1.1442u,1.0149u,1.5806u,1.3319u,1.1686u,1.7562u
b1_orig_min_verify,94.804n,97.389n,96.739n,101.92n,100.15n,102.74n,135.4n
b9_orig_min_verify,615.26n,601.05n,476.23n,646.82n,657.86n,545.92n,934.04n
C1355_orig_min_verify,1.9635u,2.8663u,2.1347u,2.3659u,2.0194u,2.6703u,5.5775u
C17_orig_min_verify,53.831n,51.96n,52.583n,54.473n,56.289n,56.444n,73.31n
C1908_orig_min_verify,1.8749u,1.8826u,1.8418u,2.1382u,2.1613u,2.2833u,4.7528u
C2670_orig_min_verify,3.5206u,3.1097u,3.0396u,3.8283u,3.4982u,3.4423u,8.6951u
C3540_orig_min_verify,3.8892u,4.5282u,2.3168u,8.2461u,5.3101u,2.4727u,11.189u
C432_orig_min_verify,656.92n,653.18n,664.44n,786.26n,802.66n,799.95n,1.846u
C499_orig_min_verify,1.715u,2.697u,1.9484u,1.9976u,1.8963u,2.2722u,5.5702u
C5315_orig_min_verify,5.6422u,5.6845u,5.1687u,7.2194u,6.9796u,6.5474u,17.377u
C6288_orig_min_verify,,10.639u,15.3u,35.934u,12.267u,386.04u,57.855u
C7552_orig_min_verify,5.7768u,5.6954u,5.3021u,6.8347u,7.1316u,7.0817u,24.856u
C880_orig_min_verify,1.4154u,1.4587u,1.3022u,1.6264u,,1.5643u,4.2163u
c8_orig_min_verify,1.1671u,693.62n,718.88n,1.2251u,770.9n,805.41n,1.6423u
cc_orig_min_verify,514.71n,489.83n,520.01n,556.33n,534.62n,529.01n,560.73n
cht_orig_min_verify,1.2357u,853.64n,805.88n,1.3035u,925.88n,950.88n,1.6915u
cm138a_orig_min_verify,175.79n,175.29n,177.43n,194.46n,191.81n,192.88n,63.419n
cm150a_orig_min_verify,39.507n,55.691n,102.18n,68.3n,82.937n,129.16n,383.84n
cm151a_orig_min_verify,41.154n,42.708n,100.28n,60.745n,63.345n,108.37n,446.16n
cm152a_orig_min_verify,43.144n,82.588n,64.03n,49.719n,85.972n,70.464n,214.32n
cm162a_orig_min_verify,246.72n,183.75n,205.94n,263.6n,212.53n,229.37n,412.71n
cm163a_orig_min_verify,268.96n,213.82n,200.64n,283.91n,236.01n,219.23n,348.05n
cm42a_orig_min_verify,185.36n,183.72n,187.83n,195.03n,195.11n,195.09n,127.19n
cm82a_orig_min_verify,104.61n,113.61n,100.36n,114.78n,,105.4n,253.22n
cm85a_orig_min_verify,198.93n,141.37n,172.84n,214.85n,164.42n,195.13n,400.4n
cmb_orig_min_verify,160.11n,178.01n,139.78n,167n,202.16n,160.41n,318.93n
comp_orig_min_verify,290.35n,303.99n,169.89n,336.2n,380.4n,230.86n,1.4438u
cordic_orig_min_verify,197.11n,167.88n,186.08n,231.69n,182.24n,210.05n,653.21n
count_orig_min_verify,849.16n,649.24n,802.31n,982.65n,777.89n,931.22n,1.3442u
cu_orig_min_verify,288.14n,242.07n,210.78n,314.59n,264.22n,233.06n,305.56n
dalu_orig_min_verify,5.3663u,5.627u,3.8049u,6.9619u,33.542u,5.0842u,12.198u
decod_orig_min_verify,246.88n,256.93n,256.41n,270.35n,279.42n,279.54n,119.77n
des_orig_min_verify,16.637u,18.963u,16.661u,23.05u,23.976u,20.717u,40.274u
example2_orig_min_verify,1.6879u,1.5586u,1.854u,1.8644u,1.7576u,2.0136u,2.5867u
f51m_orig_min_verify,807.13n,552.68n,661.97n,894.21n,633.47n,751.17n,1.3249u
frg1_orig_min_verify,1.0553u,1.1916u,654.05n,16.315u,1.5251u,748.32n,2.3794u
frg2_orig_min_verify,6.6679u,5.6837u,5.024u,7.2165u,6.3349u,5.6564u,8.4164u
i10_orig_min_verify,8.8376u,16.083u,7.3424u,13.069u,17.838u,10.74u,19.181u
i1_orig_min_verify,332.76n,248.89n,257.29n,341.48n,260.69n,279.23n,444.37n
i2_orig_min_verify,824.11n,235.23n,180.99n,940.34n,289.25n,257.39n,651.05n
i3_orig_min_verify,352.08n,335.58n,341.3n,402.29n,396.59n,399.27n,928.67n
i4_orig_min_verify,746.65n,213.13n,617.6n,926.38n,368.08n,729.52n,1.4789u
i5_orig_min_verify,1.6427u,1.6943u,1.7507u,1.8121u,1.8774u,1.9095u,2.3076u
i6_orig_min_verify,2.9878u,2.604u,2.335u,3.2353u,2.7737u,2.7825u,4.6557u
i7_orig_min_verify,4.2769u,3.468u,2.7583u,4.5863u,3.6958u,3.0695u,6.1896u
i8_orig_min_verify,6.1429u,6.6192u,5.1473u,6.9369u,6.9575u,6.1882u,15.206u
i9_orig_min_verify,4.357u,3.5779u,3.5307u,4.0643u,3.5282u,5.0785u,9.0766u
k2_orig_min_verify,5.0224u,5.1582u,3.7774u,5.8089u,5.5371u,4.3736u,12.361u
lal_orig_min_verify,492.56n,385.27n,497.38n,540.28n,448.97n,532.22n,827.49n
majority_orig_min_verify,62.119n,64.306n,63.313n,66.832n,64.405n,68.484n,108.19n
mux_orig_min_verify,160.21n,121.25n,198.19n,186.39n,131.64n,252.69n,1.0068u
my_adder_orig_min_verify,726.38n,708.41n,834.63n,948.42n,920.36n,1.0348u,2.1664u
pair_orig_min_verify,7.6821u,7.7288u,7.545u,8.9059u,8.8754u,8.9754u,13.641u
parity_orig_min_verify,100.13n,77.586n,97.166n,72.312n,,110.53n,611.54n
pcle_orig_min_verify,369.72n,273.26n,274.5n,400.25n,304.05n,321.9n,682.71n
pcler8_orig_min_verify,530.56n,532.04n,501.4n,591.92n,589.61n,562.35n,680.17n
pm1_orig_min_verify,256.35n,258.95n,238.49n,277.08n,280.92n,270.94n,338.68n
rot_orig_min_verify,3.4066u,3.2329u,3.1183u,4.1879u,3.8363u,3.7556u,6.6729u
sct_orig_min_verify,564.02n,408.65n,446.32n,609.55n,,487.28n,1.0032u
t481_orig_min_verify,,2.0167u,2.2093u,5.3908u,3.0592u,2.9703u,7.1483u
tcon_orig_min_verify,372.75n,361.83n,372.51n,391.95n,,390.05n,513.19n
term1_orig_min_verify,1.6738u,1.1117u,893.48n,1.8796u,1.4239u,1.1462u,2.7103u
too_large_orig_min_verify,29.758u,14.757u,8.1811u,32.478u,17.465u,10.187u,22.204u
ttt2_orig_min_verify,1.6693u,1.2005u,1.2484u,1.8135u,1.3705u,1.3932u,2.2043u
unreg_orig_min_verify,568.71n,550.61n,569.4n,613.85n,613.85n,614.32n,1.1883u
vda_orig_min_verify,8.1963u,2.4671u,2.4334u,,2.6107u,2.8833u,7.1511u
x1_orig_min_verify,4.0797u,2.9262u,1.5784u,,3.3142u,3.1238u,4.7959u
x2_orig_min_verify,290.52n,226.33n,189.34n,312.1n,,220.83n,302.35n
x3_orig_min_verify,5.4016u,3.5975u,2.3903u,5.7401u,4.1744u,3.0969u,5.6419u
x4_orig_min_verify,2.6624u,2.4635u,2.6044u,2.854u,2.7043u,2.8528u,3.2177u
z4ml_orig_min_verify,580.95n,354.74n,471.69n,628.39n,416.54n,536.79n,1.0356u
