File,SOP,,,BDD,,,CMOS,,,,
,CF1,CF2,CF3,CF1,CF2,CF3,,,Old sop cf3,, bdd cf2
bigkey.rpt,22229,28070,31118,,27842,30668,24528,,22088,,
clma.rpt,,184322,178992,,,180912,54992,,141356,,*
clmb.rpt,,180442,187702,,,190174,55746,,150518,,*
dsip.rpt,21041,16832,23570,,16328,23476,17552,,18323,,
mm30a.rpt,,14642,18904,,,18084,6820,,13416,,*
mm4a.rpt,846,1214,1472,1150,1172,1430,1358,,958,,
mm9a.rpt,1694,2360,2924,2170,2150,2828,2044,,1991,,
mm9b.rpt,2624,3942,5872,3246,3246,5852,2258,,3458,,
mult16a.rpt,1111,1626,1702,1528,1528,1544,1312,,1137,,
mult16b.rpt,1021,1218,1278,1278,1218,1248,1358,,916,,
mult32a.rpt,2843,4438,4590,3932,3892,3760,2688,,2849,,
mult32b.rpt,2070,2468,2588,2592,2466,2528,2770,,1855,,
s1196.rpt,2398,2864,2986,3260,2842,2874,2322,,1978,,
s13207.rpt,23420,29720,25604,,,25430,24090,,21148,,*
s1423.rpt,4455,5988,6184,5288,5522,5206,3646,,4146,,
s1488.rpt,3881,2784,3394,4870,4248,3188,2620,,2227,,
s1494.rpt,3909,2824,3392,4926,3992,3198,2632,,2221,,
s15850.rpt,21181,28066,36262,26668,27044,34436,24136,,23972,,
s208.rpt,404,408,438,512,402,428,442,,327,,
s27.rpt,69,80,80,82,80,80,114,,66,,
s298.rpt,630,654,682,766,646,678,674,,526,,
s344.rpt,823,892,894,964,880,876,780,,706,,
s349.rpt,823,892,894,964,880,876,780,,706,,
s35932.rpt,55629,56836,60912,69274,50822,57712,69708,,46296,,
s382.rpt,736,816,914,904,802,904,916,,721,,
s38417.rpt,51450,70594,125768,65954,69198,129746,70134,,77658,,
s38584.rpt,67594,83598,81826,88856,81824,80170,75248,,60125,,
s386.rpt,803,734,846,1022,744,844,652,,604,,
s400.rpt,772,862,952,962,846,942,948,,748,,
s420.rpt,879,966,906,1154,952,868,916,,623,,
s444.rpt,760,858,946,948,838,936,952,,740,,
s510.rpt,1247,1084,1256,1636,1084,1252,1032,,869,,
s526n.rpt,903,950,1128,1132,932,1122,1126,,852,,
s526.rpt,903,950,1128,1132,936,1122,1126,,852,,
s5378.rpt,6583,8746,8574,8664,8648,8246,8134,,6176,,
s641.rpt,1051,1300,1420,1386,1296,1424,992,,1053,,
s713.rpt,1051,1300,1420,1386,1296,1416,992,,1053,,
s820.rpt,1473,1748,1698,1940,1748,1698,1158,,1187,,
s832.rpt,1508,1784,1738,1980,1784,1736,1174,,1216,,
s838.rpt,1703,2142,1808,2238,2146,1784,1866,,1293,,
s9234.rpt,9287,13488,12824,12202,13440,12512,11006,,9332,,
sbc.rpt,3860,4672,4128,5030,4674,4026,3220,,2836,,
